	Error:  Individual:US03		Individual_ID:@I27@		Message: Birth Date is invalid for @I27@ Please validate the birth Date.
	Error:  Individual:US07		Individual_ID:@I1@		Message: Person with @I1@has age greater than 150
	Error:  Individual:US22		Individual_ID:@I69@		Message: Individual ID @I69@ , occurs twice ,therefore it is not valid.
	Error:  Individual:US23		Individual_ID:@I42@		Message: Individual with@I42@ doesn't have unique birthdate
	Error:  Individual:US23		Individual_ID:@I43@		Message: Individual with@I43@ doesn't have unique birthdate
	Error:  Individual:US31		Individual_ID:@I58@		Message: age is 67 not married yet.
	Error:  Individual:US31		Individual_ID:@I66@		Message: age is 68 not married yet.
	Error:  Individual:US31		Individual_ID:@I62@		Message: age is 67 not married yet.
	Error:  Individual:US31		Individual_ID:@I17@		Message: age is 57 not married yet.
	Error:  Individual:US31		Individual_ID:@I60@		Message: age is 67 not married yet.
	Error:  Individual:US31		Individual_ID:@I68@		Message: age is 68 not married yet.
	Error:  Individual:US31		Individual_ID:@I67@		Message: age is 68 not married yet.
	Error:  Individual:US31		Individual_ID:@I18@		Message: age is 62 not married yet.
	Error:  Individual:US31		Individual_ID:@I59@		Message: age is 67 not married yet.
	Error:  Individual:US31		Individual_ID:@I53@		Message: age is 41 not married yet.
	Error:  Individual:US31		Individual_ID:@I69@		Message: age is 68 not married yet.
	Error:  Individual:US31		Individual_ID:@I69@		Message: age is 67 not married yet.
	Error:  Individual:US42		Individual_ID:@I48@		Message: Invalid BirthDate Entered
	Error:  Individual:US42		Individual_ID:@I56@		Message: Invalid Death Date Entered
